"";"GTY_Code";"Flag_CTY_Code";"TFN";"GAR_Code";"Calendar_Year";"AFE_ID";"Month";"Target_TXN_Code";"FAC_Code";"VSZ_Code";"Fishing_Hours";"Fishing_Days";"Vessel_Count";"Haul_Count";"Hook_Count";"Pot_Count";"CC_Season";"Split_Year";"Location";"GTY_rev"
"3746";"OTB";"SUN";2;"5851";1971;2055;11;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1971;1972;"B";"OTB"
"3747";"OTB";"SUN";2;"5851";1972;2052;3;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1972;1972;"B";"OTB"
"3748";"OTB";"SUN";2;"5851";1972;2048;2;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1972;1972;"B";"OTB"
"3749";"OTB";"SUN";2;"5851";1972;2094;3;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1972;1972;"B";"OTB"
"3750";"OTB";"SUN";2;"5851";1972;2045;6;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1972;1972;"B";"OTB"
"3751";"OTB";"SUN";2;"5851";1972;2060;10;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1972;1973;"B";"OTB"
"3752";"OTB";"SUN";2;"5851";1972;2057;12;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1973;1973;"B";"OTB"
"3753";"OTB";"SUN";2;"5851";1972;2056;8;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1972;1973;"B";"OTB"
"3754";"OTB";"SUN";2;"5851";1972;2047;4;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1972;1972;"B";"OTB"
"3755";"OTB";"SUN";2;"5851";1972;2046;5;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1972;1972;"B";"OTB"
"3756";"OTB";"SUN";2;"5851";1972;2059;7;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1972;1973;"B";"OTB"
"3757";"OTB";"SUN";2;"5851";1972;2058;9;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1972;1973;"B";"OTB"
"3758";"OTB";"SUN";2;"5851";1972;2044;1;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1972;1972;"B";"OTB"
"3759";"OTB";"SUN";2;"5851";1974;2066;12;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1975;1975;"B";"OTB"
"3760";"OTB";"SUN";2;"5851";1974;2065;11;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1974;1975;"B";"OTB"
"3761";"OTB";"SUN";2;"5851";1974;2061;5;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1974;1974;"B";"OTB"
"3762";"OTB";"SUN";2;"5851";1974;2064;10;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1974;1975;"B";"OTB"
"3763";"OTB";"SUN";2;"5851";1975;2068;2;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1975;1975;"B";"OTB"
"3764";"OTB";"SUN";2;"5851";1975;2070;3;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1975;1975;"B";"OTB"
"3765";"OTB";"SUN";2;"5851";1975;2072;7;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1975;1976;"B";"OTB"
"3766";"OTB";"SUN";2;"5851";1975;2069;4;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1975;1975;"B";"OTB"
"3767";"OTB";"SUN";2;"5851";1975;2063;5;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1975;1975;"B";"OTB"
"3768";"OTB";"SUN";2;"5851";1975;2062;6;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1975;1975;"B";"OTB"
"3769";"OTB";"SUN";2;"5851";1975;2067;1;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1975;1975;"B";"OTB"
"3770";"OTB";"SUN";2;"5851";1976;2075;3;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1976;1976;"B";"OTB"
"3771";"OTB";"SUN";2;"5851";1976;2071;5;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1976;1976;"B";"OTB"
"3772";"OTB";"SUN";2;"5851";1976;2100;4;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1976;1976;"B";"OTB"
"3773";"OTB";"SUN";2;"5851";1976;2101;12;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1977;1977;"B";"OTB"
"3774";"OTB";"SUN";2;"5851";1976;2074;6;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1976;1976;"B";"OTB"
"3775";"OTB";"SUN";2;"5851";1976;2073;4;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1976;1976;"B";"OTB"
"3776";"OTB";"SUN";2;"5851";1977;2080;5;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1977;1977;"B";"OTB"
"3777";"OTB";"SUN";2;"5851";1977;2092;10;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1977;1978;"B";"OTB"
"3778";"OTB";"SUN";2;"5851";1977;2093;11;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1977;1978;"B";"OTB"
"3779";"OTB";"SUN";2;"5851";1977;2087;8;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1977;1978;"B";"OTB"
"3780";"OTB";"SUN";2;"5851";1977;2077;2;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1977;1977;"B";"OTB"
"3781";"OTB";"SUN";2;"5851";1977;2103;2;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1977;1977;"B";"OTB"
"3782";"OTB";"SUN";2;"5851";1977;2079;4;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1977;1977;"B";"OTB"
"3783";"OTB";"SUN";2;"5851";1977;2102;1;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1977;1977;"B";"OTB"
"3784";"OTB";"SUN";2;"5851";1977;2078;3;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1977;1977;"B";"OTB"
"3785";"OTB";"SUN";2;"5851";1977;2076;1;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1977;1977;"B";"OTB"
"3786";"OTB";"SUN";2;"5851";1977;2081;6;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1977;1977;"B";"OTB"
"3787";"OTB";"SUN";2;"5851";1977;2091;9;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1977;1978;"B";"OTB"
"3788";"OTB";"SUN";2;"5851";1977;2089;7;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1977;1978;"B";"OTB"
"3789";"OTB";"SUN";2;"5851";1977;2090;12;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1978;1978;"B";"OTB"
