taxon_code,taxon_scientific_name,taxon_vernacular_name,Taxa_Group_major,Taxa_Group
CKH,Coryphaenoides armatus,Abyssal grenadier,Fish,Macrouridae
CKY,Umbrina canosai,Argentine croaker,Fish,Other
CLX,Bivalvia,"Clams, etc. nei",Benthos,Benthos
CMD,Cephalorhynchus commersonii,Commerson's dolphin,Marine Mammal,Toothed whale
CNI,Cnidaria,Cnidarians nei,Benthos,Benthos
CNZ,Crangon spp,Crangon shrimps nei,Crustacea,Shrimp
COX,Congridae,"Conger eels, etc. nei",Fish,Other
CRA,Brachyura,Marine crabs nei,Crustacea,Crab
CRU,Crustacea,Marine crustaceans nei,Crustacea,NA
CSS,Scleractinia,"Hard corals, madrepores nei",Benthos,Benthos
CTA,Nemadactylus bergi,Castaneta,Fish,Other
CUS,Genypterus blacodes,Pink cusk-eel,Fish,Other
CUX,Holothuroidea,Sea cucumbers nei,Benthos,Benthos
CVD,Cidaridae,Pencil urchins,Benthos,Benthos
CVN,Chiasmodon niger,Black swallower,Fish,Other
CVY,Coryphaenoides spp,"Grenadiers, whiptails nei",Fish,Macrouridae
CWD,Crinoidea,Feather stars and sea lilies,Benthos,Benthos
CWS,Careproctus spp,Snailfish,Fish,Other
CWX,Coelorinchus spp,,Fish,Other
CX1,Chemosynthetic,,Benthos,NA
CYC,Cycloteuthidae,Disc-fin squids nei,Cephalopod,Cephalopod
CYO,Centroscymnus coelolepis,Portuguese dogfish,Chondrichthyes,Shark
CZ1,Chordata,,Chordata,NA
CZI,Centroscymnus spp,,Chondrichthyes,Shark
DAC,Daption capense,Cape petrel,Bird,Flying Bird
DAH,Dacodraco hunteri,Icefish spp.,Fish,Channichthyidae
DAM,Diomedea amsterdamensis,Amsterdam Island albatross,Bird,Flying Bird
DBN,Diomedea dabbenena,Tristan albatross,Bird,NA
DCR,Thalassarche chlororhynchos,Atlant. yellow-nosed albatross,Bird,Flying Bird
DCU,Thalassarche cauta,Shy albatross,Bird,Flying Bird
DDU,Lagenorhynchus obscurus,Dusky dolphin,Marine Mammal,Toothed whale
DER,Thalassarche eremita,Chatham Islands albatross,Bird,Flying Bird
DGL,Melamphaidae,Bigscale fishes,Fish,NA
DIB,Thalassarche bulleri,Buller's albatross,Bird,Flying Bird
DIC,Thalassarche chrysostoma,Grey-headed albatross,Bird,Flying Bird
DIL,Diptychus maculatus,Scaly osman,Fish,Other
